icao,name,lat,lon,runways,ils
EDDV,"Hannover",52.4620948833333,9.68679404,3,4
EDDW,"Bremen",53.046809452,8.786764015,5,2
EDFH,"Frankfurt Hahn",49.945808,7.2610815,1,2
EDGS,"Siegerland",50.7082500216667,8.08224009333333,3,1
EDHI,"Hamburg Finkenwerder",53.53591,9.837071,1,2
EDHK,"Kiel Holtenau",54.3807051716667,10.147509245,3,2
EDHL,"Lubeck Blankensee",53.804963,10.7170585,1,2
EDLN,"Monchengladbach",51.2303555,6.504496,1,2
EDLP,"Paderborn Lippstadt",51.6141655,8.616336,1,2
EDLV,"Niederrhein",51.6024555,6.142132,1,1
EDLW,"Dortmund-wickede",51.519107,7.614447,1,2
EDMA,"Augsburg",48.424245,10.93427725,2,1
EDMO,"Oberpfaffenhofen",48.0816195,11.283418,1,1
EDNY,"Friedrichshafen",47.6713165,9.5114875,1,2
EDOP,"Schwerin Parchim",53.426997,11.7834375,1,1
EDQM,"Hof Plauen",50.288643,11.854065,1,1
EDRZ,"Zqw",49.209522615,7.400659055,1,2
EDSB,"Karlsruhe Baden Baden",48.779257,8.0806415,1,2
EDTL,"Lahr",48.3692515,7.827725,1,1
EDTY,"Schwabisch Hall",49.1184735,9.78523875,2,1
EDVE,"Braunschweig-wolfsburg",52.3184355,10.55474175,2,1
EDXW,"Westerland Sylt",54.91243275,8.34153575,2,1
EETN,"Tallinn",59.4132565,24.832803,1,2
EFET,"Enontekio",68.362586,23.4243275,1,1
EFHA,"Halli",61.856049,24.7866125,1,1
EFHK,"Helsinki Vantaa",60.3205686666667,24.9526675,3,5
EFIV,"Ivalo",68.60661475,27.419231,2,1
EFJO,"Joensuu",62.65874375,29.61397775,2,1
EFJY,"Jyvaskyla",62.3994515,25.67825,1,1
EFKA,"Kauhava",63.1270775,23.0514415,1,1
EFKE,"Kemi Tornio",65.781889,24.582436,1,1
EFKI,"Kajaani",64.2854705,27.6924165,1,1
EFKK,"Kruunupyy",63.7206395,23.13971325,2,1
EFKS,"Kuusamo",65.987404,29.2397975,1,1
EFKT,"Kittila",67.7010225,24.8468485,1,1
EFKU,"Kuopio",63.00694525,27.79869925,2,1
EFLP,"Lappeenranta",61.04455,28.1444,1,1
EFMA,"Mariehamn",60.122203,19.898157,1,1
EFMI,"Mikkeli",61.68675,27.2016905,1,1
EFOU,"Oulu",64.9300585,25.3545595,1,1
EFPO,"Pori",61.4611745,21.79925475,2,1
EFRO,"Rovaniemi",66.564822,25.8304195,1,1
EFSA,"Savonlinna",61.9430625,28.9451335,1,1
EFSI,"Seinajoki",62.6921195,22.832325,1,1
EFTP,"Tampere Pirkkala",61.4141455,23.604397,1,1
EFTU,"Turku",60.514115,22.2628125,1,1
EFVA,"Vaasa",63.05065,21.7621735,1,1
EFVR,"Varkaus",62.173311,27.86601,1,1
EFYL,"Ylivieska",64.054443,24.722407,1,1
EGAA,"Belfast Aldergrove",54.653878,-6.22000625,2,2
EGAC,"Belfast City",54.618108,-5.872575,1,1
EGAE,"Londonderry Eglinton",55.0428125,-7.161188,1,1
EGBB,"Birmingham",52.455966165,-1.750378085,1,2
EGBE,"Coventry",52.3704363,-1.478572995,1,2
EGCC,"Manchester Intl",53.3471407825,-2.2839538575,2,3
EGCD,"Manchester Woodford",53.33795653,-2.149180565,1,1
EGCN,"Doncaster Sheffield",53.474648815,-1.004473905,1,1
